"","area","budget","year"
"1120","siberia_tundra","568.268793667161","2010"
"2120","east_siberia","2574.16740550679","2010"
"320","west_siberia","739.918039967014","2010"
"420","fenno","1780.72852625071","2010"
"520","alaska","453.135080772778","2010"
"620","canada_tundra","497.797064703967","2010"
"720","east_canada","1062.16987700243","2010"
"820","west_canada","1320.59479250323","2010"
"sum21","full","9174.88107115079","2011"
"131","Boreal","7258.0691604799","2011"
"231","Tundra","1909.9294613491","2011"
"1121","siberia_tundra","574.897844447051","2011"
"2121","east_siberia","2693.25974512982","2011"
"321","west_siberia","807.961159855841","2011"
"421","fenno","1837.35041384595","2011"
"521","alaska","436.407829168457","2011"
"621","canada_tundra","497.906448700668","2011"
"721","east_canada","1018.26656558124","2011"
"821","west_canada","1303.78765663968","2011"
"sum22","full","9215.01478691519","2012"
"132","Boreal","7285.43903385653","2012"
"232","Tundra","1922.89510220419","2012"
"1122","siberia_tundra","584.529602010656","2012"
"2122","east_siberia","2639.39291947892","2012"
"322","west_siberia","842.502694401509","2012"
"422","fenno","1764.17282389023","2012"
"522","alaska","439.516848156734","2012"
"622","canada_tundra","511.790637639935","2012"
"722","east_canada","1080.48063512078","2012"
"822","west_canada","1347.70972369018","2012"
"sum23","full","9064.75015601455","2013"
"133","Boreal","7133.12047410204","2013"
"233","Tundra","1924.81804753408","2013"
"1123","siberia_tundra","583.811797753312","2013"
"2123","east_siberia","2604.18413018968","2013"
"323","west_siberia","751.845373735157","2013"
"423","fenno","1826.45572752285","2013"
"523","alaska","468.562672495754","2013"
"623","canada_tundra","483.734519883071","2013"
"723","east_canada","987.84758697863","2013"
"823","west_canada","1353.39589833883","2013"
"sum24","full","8996.35754420949","2014"
"134","Boreal","7064.040605593","2014"
"234","Tundra","1925.35508271564","2014"
"1124","siberia_tundra","575.011001704924","2014"
"2124","east_siberia","2685.27708307034","2014"
"324","west_siberia","728.647917599256","2014"
"424","fenno","1751.33779096841","2014"
"524","alaska","467.147754475736","2014"
"624","canada_tundra","496.435181718433","2014"
"724","east_canada","998.111413279234","2014"
"824","west_canada","1289.32129509262","2014"
"sum25","full","9010.58752042532","2015"
"135","Boreal","7088.39109481405","2015"
"235","Tundra","1915.36661573023","2015"
"1125","siberia_tundra","580.479049544761","2015"
"2125","east_siberia","2661.57698129155","2015"
"325","west_siberia","767.82615741342","2015"
"425","fenno","1722.507356844","2015"
"525","alaska","478.178414924175","2015"
"625","canada_tundra","479.351453888835","2015"
"725","east_canada","994.110775084785","2015"
"825","west_canada","1321.70308141619","2015"
"sum26","full","9328.15186754636","2016"
"136","Boreal","7296.16307943142","2016"
"236","Tundra","2024.97203039482","2016"
"1126","siberia_tundra","623.501047176254","2016"
"2126","east_siberia","2604.34995610996","2016"
"326","west_siberia","854.725393517309","2016"
"426","fenno","1840.28690196917","2016"
"526","alaska","516.260032648904","2016"
"626","canada_tundra","500.015412148263","2016"
"726","east_canada","1015.23913060315","2016"
"826","west_canada","1368.78435841316","2016"
