"","area","budget","year"
"319","west_siberia","-78.6543862671608","2009"
"419","fenno","-85.264970613994","2009"
"519","alaska","1.3592462205108","2009"
"619","canada_tundra","26.1707702470978","2009"
"719","east_canada","-11.3057694239471","2009"
"819","west_canada","-34.0748941958738","2009"
"sum20","full","-327.483871939859","2010"
"130","Boreal","-400.594813568567","2010"
"230","Tundra","72.9281547526091","2010"
"1120","siberia_tundra","20.0689999341429","2010"
"2120","east_siberia","-82.8062442535788","2010"
"320","west_siberia","-67.7433730164644","2010"
"420","fenno","-111.327834869009","2010"
"520","alaska","4.67857116939668","2010"
"620","canada_tundra","18.8562199531571","2010"
"720","east_canada","-47.4665899653774","2010"
"820","west_canada","-61.7108983903778","2010"
"sum21","full","-336.654138220218","2011"
"131","Boreal","-415.699860869032","2011"
"231","Tundra","78.8964746754812","2011"
"1121","siberia_tundra","19.9083092312058","2011"
"2121","east_siberia","-98.3594387757659","2011"
"321","west_siberia","-100.222747525808","2011"
"421","fenno","-110.631955909603","2011"
"521","alaska","9.58095182894564","2011"
"621","canada_tundra","21.7356881552565","2011"
"721","east_canada","-28.4253908710198","2011"
"821","west_canada","-50.1822509316982","2011"
"sum22","full","-335.512781723387","2012"
"132","Boreal","-412.134371780585","2012"
"232","Tundra","76.4448154572833","2012"
"1122","siberia_tundra","20.5525575037182","2012"
"2122","east_siberia","-68.4756978455535","2012"
"322","west_siberia","-98.9490194894493","2012"
"422","fenno","-101.038212146352","2012"
"522","alaska","13.9427466852836","2012"
"622","canada_tundra","9.02276809879252","2012"
"722","east_canada","-48.4357640765803","2012"
"822","west_canada","-62.0894264545199","2012"
"sum23","full","-255.039538636816","2013"
"133","Boreal","-332.573171888718","2013"
"233","Tundra","77.4032773998144","2013"
"1123","siberia_tundra","18.049315182578","2013"
"2123","east_siberia","-51.2681773471007","2013"
"323","west_siberia","-64.339480071693","2013"
"423","fenno","-112.734361676394","2013"
"523","alaska","14.654056474884","2013"
"623","canada_tundra","16.1724785199713","2013"
"723","east_canada","-21.1556085574682","2013"
"823","west_canada","-54.3803809944991","2013"
"sum24","full","-304.519074933483","2014"
"134","Boreal","-383.738055292257","2014"
"234","Tundra","79.1303171978357","2014"
"1124","siberia_tundra","31.3549190134962","2014"
"2124","east_siberia","-94.0348714600239","2014"
"324","west_siberia","-69.9811557480242","2014"
"424","fenno","-116.466816753949","2014"
"524","alaska","5.56344022428772","2014"
"624","canada_tundra","2.78342283727108","2014"
"724","east_canada","-30.9883084142459","2014"
"824","west_canada","-32.6332278862562","2014"
"sum25","full","-302.722615865966","2015"
"135","Boreal","-372.328785605893","2015"
"235","Tundra","69.4853280349621","2015"
"1125","siberia_tundra","20.9310647503205","2015"
"2125","east_siberia","-75.0922801709732","2015"
"325","west_siberia","-81.6072057128021","2015"
"425","fenno","-91.9246984394578","2015"
"525","alaska","-5.77201636094348","2015"
"625","canada_tundra","16.0020797317538","2015"
"725","east_canada","-25.2864372471213","2015"
"825","west_canada","-59.9397005609686","2015"
"sum26","full","-442.302344786557","2016"
"136","Boreal","-467.398595863139","2016"
"236","Tundra","25.0736633690682","2016"
"1126","siberia_tundra","-2.06937196452188","2016"
"2126","east_siberia","-70.8451641144374","2016"
"326","west_siberia","-112.744408549154","2016"
"426","fenno","-148.281501798644","2016"
"526","alaska","-10.3711709527965","2016"
"626","canada_tundra","4.55756700644772","2016"
"726","east_canada","-32.2728957903229","2016"
"826","west_canada","-70.1475570629166","2016"
